Rank,Player,Position,Team,ADP
1,J. Gibbs,RB,DET,1.0
2,B. Robinson,RB,ATL,2.0
3,P. Nacua,WR,LAR,4.0
4,J. Chase,WR,CIN,3.0
5,C. McCaffrey,RB,SF,5.0
6,J. Smith-Njigba,WR,SEA,7.0
7,A. St. Brown,WR,DET,8.0
8,J. Taylor,RB,IND,6.0
9,C. Lamb,WR,DAL,10.0
10,J. Cook,RB,BUF,9.0
11,J. Jefferson,WR,MIN,11.0
12,A. Jeanty,RB,LVR,12.0
13,S. Barkley,RB,PHI,13.0
14,D. London,WR,ATL,19.0
15,D. Henry,RB,BAL,17.0
16,N. Collins,WR,HOU,24.0
17,A. Brown,WR,NE,20.0
18,K. Walker III,RB,KC,18.0
19,G. Pickens,WR,DAL,26.0
20,J. Allen,QB,BUF,23.0
21,R. Rice,WR,KC,28.0
22,D. Achane,RB,MIA,16.0
23,O. Hampton,RB,LAC,14.0
24,C. Brown,RB,CIN,15.0
25,B. Bowers,TE,LVR,21.0
26,T. McBride,TE,ARI,22.0
27,M. Nabers,WR,NYG,31.0
28,T. Higgins,WR,CIN,37.0
29,Z. Flowers,WR,BAL,43.0
30,J. Love (RB),RB,ARI,25.0
31,C. Olave,WR,NO,32.0
32,C. Loveland,TE,CHI,44.0
33,D. Smith,WR,PHI,35.0
34,J. Jacobs,RB,GB,29.0
36,B. Hall,RB,NYJ,30.0
37,G. Wilson,WR,NYJ,39.0
38,J. Williams (RB),RB,DAL,33.0
39,C. Watson,WR,GB,66.0
41,J. Waddle,WR,DEN,47.0
42,K. Williams,RB,LAR,27.0
43,T. Warren,TE,IND,50.0
44,D. Adams,WR,LAR,58.0
45,T. Etienne,RB,NO,42.0
46,T. McMillan,WR,CAR,34.0
47,L. Jackson,QB,BAL,36.0
48,E. Egbuka,WR,TB,40.0
50,M. Evans,WR,SF,60.0
51,L. Burden III,WR,CHI,52.0
53,L. McConkey,WR,LAC,41.0
54,T. McLaurin,WR,WAS,51.0
56,D. Maye,QB,NE,53.0
58,J. Williams (WR),WR,DET,56.0
59,D. Swift,RB,CHI,54.0
60,T. Kraft,TE,GB,67.0
61,C. Skattebo,RB,NYG,38.0
62,R. Odunze,WR,CHI,63.0
63,J. Daniels,QB,WAS,64.0
64,D. Montgomery,RB,HOU,49.0
65,J. Burrow,QB,CIN,55.0
66,J. Hurts,QB,PHI,65.0
68,S. LaPorta,TE,DET,68.0
69,D. Moore,WR,BUF,57.0
70,B. Irving,RB,TB,45.0
71,Q. Judkins,RB,CLE,48.0
72,H. Fannin Jr.,TE,CLE,71.0
73,P. Washington,WR,JAC,77.0
74,T. Lawrence,QB,JAC,97.0
75,J. Herbert,QB,LAC,81.0
76,B. Purdy,QB,SF,114.0
78,C. Williams,QB,CHI,80.0
79,D. Prescott,QB,DAL,90.0
80,K. Murray,QB,MIN,165.0
81,T. Henderson,RB,NE,46.0
82,B. Tuten,RB,JAC,59.0
83,D. Metcalf,WR,PIT,76.0
84,R. Stevenson,RB,NE,78.0
86,C. Tate,WR,TEN,62.0
87,M. Harrison Jr.,WR,ARI,74.0
88,J. Dart,QB,NYG,93.0
89,J. Price,RB,SEA,61.0
90,G. Kittle,TE,SF,94.0
92,J. Warren,RB,PIT,69.0
93,B. Thomas Jr.,WR,JAC,70.0
94,C. Sutton,WR,DEN,87.0
95,J. Brooks,RB,CAR,92.0
96,B. Nix,QB,DEN,116.0
97,R. Dowdle,RB,PIT,84.0
98,J. Reed,WR,GB,104.0
99,T. Pollard,RB,TEN,82.0
100,J. Tyson,WR,NO,75.0
101,P. Mahomes,QB,KC,105.0
103,J. Dobbins,RB,DEN,86.0
104,K. Pitts,TE,ATL,72.0
105,J. Addison,WR,MIN,99.0
106,Q. Johnston,WR,LAC,102.0
